data,host,media,freq,fsize,rsize,threads,test,iter,throughput,runtime
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,76,5825681.91,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,77,5611093.31,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,78,6522314.41,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,79,6127002.31,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,80,5581534.62,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,81,6629799.62,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,82,5787202.41,20
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,83,5676769.11,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,84,6276969.59,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,85,5656606.66,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,86,6121923.25,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,87,6116205.45,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,88,6396726.09,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,89,6041810.41,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,90,5910546.09,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,91,6408949.06,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,92,5998554.25,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,93,6761511.19,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,94,5977545.19,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,95,5975990.0,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,96,6371679.53,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,97,6113693.31,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,98,6142365.62,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,99,6322137.62,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,100,6196458.78,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,101,6009073.69,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,102,5849184.5,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,103,6647056.38,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,104,6434942.97,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,105,5924671.03,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,106,6645903.19,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,107,6146673.03,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,108,5820822.66,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,109,6443669.59,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,110,6621752.44,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,111,5910756.31,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,112,6259495.66,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,113,5761592.19,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,114,6405797.12,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,115,6402756.06,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,116,5869216.69,22
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,117,6328629.38,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,118,7074539.5,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,119,6562714.47,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,120,6266773.62,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,121,6035340.41,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,122,6322176.22,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,123,6229199.09,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,124,5829790.53,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,125,6139199.78,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,126,5716452.53,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,127,5574210.06,21
